Model,Brake Horsepower (BHP),Torque (Nm),Fuel Consumption (L/100km),CO2 Emissions (g/km),NOx Emissions (g/km),RPM (Revolutions Per Minute),Load Percentage,Coolant Temperature (°C),Oil Temperature (°C),Oil Pressure (kPa),Intake Manifold Pressure (kPa),Exhaust Back Pressure (kPa),Vibration Levels,Noise Levels (dB)
Tata 407,362.2916601,1152.202011,7.762558351,167.2970417,4.862480243,2106.14705,78.13342724,89.68730288,65.19221017,302.160742,64.80753117,21.70709728,0.117627853,83.50882517
Volvo FH 520,287.5294772,1169.042806,12.30962605,116.6370608,0.146161019,1044.796968,27.18717344,98.38544388,119.6324051,265.9011546,129.7619542,32.22316335,0.177953643,77.49991437
Mahindra Blazo X 35,183.7195099,1698.267909,17.93445933,471.4679124,1.842651762,1220.830047,46.15246207,81.94772204,84.00381181,390.9724014,122.0231744,48.11279477,0.753237512,70.73609557
Volvo FH 520,481.8313855,1724.525376,5.335806771,260.1578573,4.591386437,1139.049682,69.41513556,99.63582734,118.3391331,205.93482,85.58789712,27.16352067,0.76341886,74.98464867
Mahindra Blazo X 35,295.8462569,2437.896262,16.95410775,174.2293884,4.45893769,1993.063162,79.13901775,80.65932256,61.04896151,373.4711681,134.6375491,32.5446339,0.208503003,79.41130242
Eicher Pro 6025,393.4210175,2995.576844,10.95745478,382.5355808,2.317807944,1616.593403,49.63215684,98.51197381,99.6242169,318.6031989,144.6659017,36.67362782,0.5989705,77.67895618
Tata 407,390.1989732,2501.726539,8.723576119,107.6131668,3.410393912,2165.587783,20.39594197,85.03260297,95.09153914,366.5437804,98.44669586,30.81996117,0.478189685,70.91068404
Tata 407,215.8271232,2717.878305,6.073528823,140.8207462,3.993060515,1707.100564,82.52348412,86.89374313,102.0710376,297.0706504,54.20075529,21.65144247,0.375680081,85.16251182
Eicher Pro 6025,304.6752298,1742.125023,15.92355911,205.0090615,1.548950383,2423.415258,80.83627417,83.26541918,76.62049437,339.3895622,143.1386103,46.21830122,0.584741837,76.31713126
Volvo FH 520,265.544282,1324.062523,7.704281962,245.2721823,2.74376846,1289.727022,67.79429536,94.33562599,76.59355671,389.0214598,76.28916383,18.11809261,0.577120928,81.96031229
Volvo FH 520,417.9077676,1207.042408,18.92164556,369.4531268,3.6229697,1449.984175,51.93699351,89.40896724,81.65760008,261.9443084,107.0724593,16.77785432,0.1949666,74.35715932
Tata 407,403.3033021,2867.328268,13.63874556,365.0238899,0.903556733,1118.073993,90.28815315,97.99083152,97.65182187,217.0122529,61.41646091,19.15975984,0.264652019,78.80352766
Eicher Pro 6025,196.7597219,2049.904749,15.71330733,213.0622002,1.872276117,2369.852118,90.78518498,97.0332486,105.8695416,347.3382262,143.7545124,41.80739622,0.134156486,70.69811353
Mahindra Blazo X 35,337.7755719,1912.031293,7.546488764,247.9727574,4.222868588,1808.659695,72.94478,82.46077801,74.32263528,276.2658134,123.5560798,17.23254098,0.106544924,83.58239852
Volvo FH 520,420.785362,2578.339099,17.12179182,321.6853692,0.403939143,1329.929515,11.09313267,95.20010773,89.54439275,201.8906149,139.6385294,16.09799162,0.768752341,85.27141017
Tata 407,477.4864712,1716.709756,16.25338642,179.2223428,3.520220398,1392.099152,71.63679869,92.08074889,71.81552752,276.6267266,118.4255289,46.68881087,0.98946069,76.69487661
Eicher Pro 6025,295.4917758,1984.797097,11.76549391,443.6119821,4.00939754,1767.666705,24.04543753,93.93010656,64.09474737,364.7274965,82.15310226,17.16873889,0.554865903,76.25078231
Tata 407,360.4498558,1055.147449,15.49531081,374.0619252,0.440733944,1424.682093,97.93749259,93.96170307,84.83044375,252.8298581,99.99035546,48.62887769,0.430653646,82.55986435
Ashok Leyland 2518,352.0161145,1745.6872,12.00040872,179.8173183,0.370555133,2358.107044,40.71338844,84.61074845,67.39946842,212.6171181,109.8435169,39.67335168,0.364566447,73.8268338
Ashok Leyland 2518,295.2317712,2162.778783,4.375383236,225.4994038,3.437154599,1515.030909,12.78476581,95.59433391,64.94342599,308.7495004,60.79763124,43.61960682,0.835954423,82.53964308
Volvo FH 520,311.2072918,2342.705032,16.21367762,388.3232772,4.204429027,2120.619929,73.55556022,93.81953729,75.64917382,363.9534654,142.6371575,38.27480889,0.718084379,87.19144893
Eicher Pro 6025,227.3445971,1452.197594,4.732099193,195.240905,0.206337887,1944.299909,47.5386116,85.36259572,82.92451472,258.4058475,111.7882385,21.63809658,0.360349267,72.44794832
Volvo FH 520,445.9307569,2783.173841,19.56250884,285.9433475,2.149599217,1269.819039,88.95730555,89.35972685,99.28554004,365.991891,86.35602841,36.68406851,0.882083481,84.50300026
Mahindra Blazo X 35,466.6839448,1890.594686,17.42978576,154.5533778,0.952448453,1815.770836,11.57749266,81.5395434,89.52481416,351.244145,88.98449052,46.68815909,0.151792566,74.34039103
Volvo FH 520,318.6789943,1448.605587,5.928976302,155.5012055,3.118652074,2250.886341,31.45368193,92.3277548,75.60702062,230.9183601,102.1206562,17.86609618,0.189945143,79.70059329
Ashok Leyland 2518,467.3747881,2038.084574,7.479357132,420.214386,1.124363271,1311.582801,76.19861556,92.56982277,75.05936348,207.706608,71.25772912,26.33660119,0.548761032,81.425665
Eicher Pro 6025,191.108564,2727.883177,4.119034321,184.6887121,4.668708431,1482.422845,51.8938673,80.85397381,111.9305245,225.3387819,141.8606568,39.27965404,0.435509563,89.17394609
Volvo FH 520,423.1320372,1873.391108,11.73464618,438.4599381,2.605297725,1992.576678,57.32443334,92.44132215,99.32399727,243.1789302,141.8287695,41.69120064,0.714184591,87.74867738
Tata 407,406.9828931,2519.101457,16.47022554,248.5324715,2.259083644,2468.993176,14.09989874,81.45621868,76.51895178,383.7511228,144.2222162,37.87708682,0.561012061,74.69438774
Mahindra Blazo X 35,218.4041148,1466.70414,12.10766514,138.4226767,2.453208007,1885.211399,36.64974353,80.45294208,64.70225242,203.1244301,68.16884123,29.27511079,0.599611287,78.33558555
Tata 407,411.4993183,1952.0167,5.52646332,183.2346884,1.830756679,1436.107779,75.4022604,99.40232868,73.7796591,212.4765937,146.8982186,31.70355852,0.205219658,85.2752861
Ashok Leyland 2518,442.2093977,2730.816477,4.452205181,168.3078011,1.971033712,2046.902257,78.10331166,84.69062058,67.33975129,339.921369,127.2673484,13.11982858,0.972330657,84.7832085
Ashok Leyland 2518,435.4210407,2569.322754,11.55817562,428.7571453,3.747200066,1312.149679,12.63172925,90.35820891,80.72747674,382.8300577,130.8427417,27.85539649,0.333742408,82.00148451
Volvo FH 520,364.6723955,2302.763198,7.063132723,116.8437034,2.537087278,1943.177362,54.68147235,83.89646028,114.0874132,314.2929276,111.5017626,23.2782513,0.447032473,81.87583727
Mahindra Blazo X 35,452.9476508,2355.080291,15.21419656,210.80523,4.548411573,1974.169364,61.20032763,95.08663789,76.51904403,273.6489025,124.713885,44.40601782,0.372949723,81.20604304
Eicher Pro 6025,327.7230133,1723.616897,6.821795184,262.5491336,0.526801827,1880.85565,52.2273549,84.72388509,103.465773,360.380194,109.0315696,24.81408561,0.440687323,78.17935985
Eicher Pro 6025,355.6102419,2476.725041,16.05509865,335.7398374,1.524987622,1075.654652,93.07613688,84.63409661,113.6438246,320.8683892,66.95215771,13.12761313,0.659419415,85.78745608
Eicher Pro 6025,344.3627362,1579.615404,14.01249709,464.2075508,1.763494435,1686.709585,85.8920248,93.2481553,64.22203113,207.1163313,142.5289558,20.48323273,0.753966854,73.2682297
Mahindra Blazo X 35,169.5180392,2257.994101,19.08765175,201.9900512,3.447179856,1921.973948,79.44930342,95.76378206,100.6817045,379.6144592,129.4699849,33.82807211,0.24882943,78.9440279
Ashok Leyland 2518,237.0942254,2767.492008,12.56290386,129.0317137,3.983884054,1046.341082,69.93564712,99.62336329,67.15234149,326.215874,146.712481,28.78147693,0.835832868,73.95550372
Volvo FH 520,283.7522951,1710.117765,7.958115613,150.2428741,1.353045747,1646.319052,44.71217162,83.71394163,100.497246,216.0245563,61.51475803,28.60880373,0.551436172,82.24553543
Ashok Leyland 2518,160.3805365,2661.492533,11.22459396,429.8424134,2.849891636,2150.652685,55.24928188,84.51893038,90.81131761,361.2942063,104.7778167,38.55445967,0.565944369,87.76037222
Eicher Pro 6025,404.538885,1270.356538,8.3329761,116.5816934,4.840104309,2151.547051,23.57081835,92.45133118,62.11326501,211.5289519,54.09055476,34.70066672,0.340235584,81.380561
Ashok Leyland 2518,477.9582584,1167.56291,7.861096981,423.2170793,0.731212949,1263.298675,21.56339633,86.49493968,117.1382216,348.2093442,86.77334281,17.83247294,0.297917795,85.8010473
Volvo FH 520,451.0417032,1991.488481,10.63518098,161.4396944,0.715870052,2193.519856,92.44511904,83.62503623,82.56876573,311.5440117,54.16990512,15.14836156,0.92338965,74.20840508
Volvo FH 520,158.2345031,1373.605601,5.795295322,123.1256142,3.566614443,1262.036025,74.42487561,86.39291583,118.1932809,396.2507018,52.38811603,25.16946832,0.142705038,73.22274254
Ashok Leyland 2518,340.6968263,2396.406855,15.5230558,352.9104108,4.814239179,2056.765619,96.73093556,83.26411831,119.8083917,290.5809772,98.67989521,24.70720886,0.16402263,83.92151663
Ashok Leyland 2518,282.9471984,1960.627126,19.65784808,314.3584722,3.967753458,1804.039091,42.07967168,86.99986227,82.19617852,286.2163061,95.76185832,14.06506761,0.305195022,82.68868456
Mahindra Blazo X 35,205.9359578,2015.146979,19.69976869,110.1462536,1.670427841,1107.572377,28.33565657,96.50162997,98.35690098,236.7229602,110.6396931,17.61524445,0.409592568,74.23138661
Eicher Pro 6025,437.8223156,2362.853787,11.35538483,493.6986734,2.962530676,1197.552117,87.05061285,96.06784549,72.64133248,392.7526281,52.14892557,29.0322508,0.48108759,84.5196567
Eicher Pro 6025,379.0960874,1154.540759,12.72338593,229.6674847,1.931469278,2271.676046,80.17848276,91.23643986,92.40860295,372.8318872,75.03884655,30.08923276,0.196620733,74.01724895
Tata 407,295.3082489,2105.176658,15.21841708,220.6654568,0.594799069,1758.238707,88.69637553,83.60221174,71.06076182,269.9737987,131.3520847,26.54135952,0.463864008,80.16843393
Tata 407,327.6080763,1463.840608,7.394083633,246.9393959,1.530610755,2191.02338,65.32912769,85.89931479,73.15448567,390.0223368,55.72852671,29.26846469,0.471504795,85.43200441
Tata 407,290.7390767,2129.119164,13.38605898,311.4322168,4.642204088,2437.780396,17.16776525,89.74980658,83.10267738,302.2032458,104.5705755,24.76494519,0.217058734,71.22546939
Eicher Pro 6025,344.9089794,2652.445736,19.32992032,344.780605,2.526517211,2143.20696,77.22362223,95.44922152,118.0440083,347.168854,51.76566368,49.8865034,0.528917311,88.16378146
Volvo FH 520,183.85057,1310.726069,12.24950202,369.4825102,4.173422332,1956.734947,30.82279955,88.74780378,107.0637126,239.985446,71.21400387,46.90745072,0.989088318,80.52829549
Tata 407,170.9157964,2911.031274,9.604643157,278.4262502,3.516471647,2148.03975,74.70359481,81.33732082,94.59030273,235.3987043,145.4632509,29.11971041,0.854193246,88.9048067
Eicher Pro 6025,372.9578054,1939.215513,9.775249155,384.0285089,0.784832313,1215.584936,42.46774956,96.96724658,65.71618909,219.2965056,57.028851,12.66375106,0.947786561,84.6507855
Eicher Pro 6025,439.0862018,2256.186674,4.30223881,198.2652625,4.2936854,2081.434746,29.71506519,94.96419664,118.9651873,236.0962737,93.3454865,31.64526168,0.975574986,74.37244714
Ashok Leyland 2518,255.0422138,2955.455602,4.060475076,483.216878,4.066108929,2403.846976,64.854156,95.15819958,97.10876314,354.823141,104.8784278,46.4948286,0.543427749,87.56149323
Eicher Pro 6025,481.9911976,1045.176175,9.782693496,170.9045092,3.603487309,1716.920856,80.84904994,83.63703163,100.7128956,299.1018217,85.15802852,16.47678989,0.530610852,76.59043071
Volvo FH 520,354.6258384,2372.258071,17.70293604,472.8813535,0.841348347,1083.54579,71.0004909,95.23946492,63.1091225,206.7565015,115.7035182,33.72029213,0.9169574,81.93945416
Eicher Pro 6025,221.3147877,1010.999693,16.73637583,269.849599,3.606553483,1835.64041,81.48598091,97.68348207,102.8932341,260.3176183,96.46084837,36.46785849,0.340613337,86.90250365
Ashok Leyland 2518,196.7751906,2856.667219,14.56549559,371.8794003,3.151644892,1667.988852,32.5721993,95.79913651,81.33777122,280.746573,144.2305995,48.44839854,0.418462165,76.24370569
Ashok Leyland 2518,232.4195141,2303.091835,6.167742072,262.4487128,0.220651692,2134.062829,21.16029025,94.90419354,117.863664,242.4370225,145.3497638,20.66667842,0.610147857,82.93709352
Volvo FH 520,380.4869219,1639.44322,16.66488346,458.0145927,2.964334842,1230.196083,53.84376855,91.77324215,68.20749848,363.5682544,99.57140782,11.60041996,0.235617367,89.71346145
Ashok Leyland 2518,353.4637976,1073.677918,9.28219524,253.2096137,2.3692478,1987.98471,53.6674066,90.07912033,88.94588586,235.5236155,61.62816202,31.32481647,0.760707529,78.34733911
Volvo FH 520,413.2867365,1780.030919,13.09697434,376.8660115,2.737786579,1159.253284,35.37274665,84.0491397,111.4233112,374.9019804,95.61190271,10.17397977,0.703713326,75.77651833
Eicher Pro 6025,422.3333254,2869.383437,8.645277255,213.7083529,2.283534914,2184.776243,67.83147221,80.21605065,102.4105702,366.1647946,128.9233764,32.86788569,0.246893182,78.2288049
Ashok Leyland 2518,191.5037748,1986.872139,9.639662384,438.2869865,0.742709798,2231.949307,53.54078882,91.65425491,73.9083896,230.5261684,110.7614079,48.62478768,0.84467649,85.87383643
Eicher Pro 6025,161.5275441,2611.196201,15.29099556,320.3220539,2.131895598,1892.84693,40.41061625,86.38606861,68.00026296,254.93797,125.9220022,39.05737594,0.337577858,84.86845884
Volvo FH 520,179.0413884,1549.204151,10.19426219,417.5160078,1.35239711,2188.216937,57.38358486,97.99392357,95.24273381,220.8115659,129.5910747,38.65531332,0.829650945,74.96158652
Volvo FH 520,486.423687,2418.047418,16.49882287,226.6065408,1.52513739,1910.664028,13.38406309,88.4506587,104.7891395,371.4835119,144.1398115,32.52682129,0.492683904,89.56459939
Tata 407,337.4629315,2219.014388,6.218151006,282.0757653,0.685808517,1671.244744,23.40069944,81.94461079,60.61812445,327.9411936,50.48245497,24.835605,0.297825748,84.66131935
Mahindra Blazo X 35,343.8783073,2150.889758,13.01548902,477.091206,4.734840125,1279.4465,30.97071461,82.07623388,95.03500895,214.5594643,133.7960309,20.91342514,0.3503803,89.68250745
Ashok Leyland 2518,188.4227208,1726.941545,14.79485202,406.4623385,2.558667431,1960.870786,86.26297441,88.96665817,99.56889947,230.391591,87.78277947,49.1688976,0.36475939,82.86695891
Eicher Pro 6025,472.3937947,1120.241804,6.573751197,395.8772225,3.004996259,2441.504577,81.14387671,94.99132727,93.45600233,366.8870743,131.4542446,21.68273845,0.201461136,86.24207868
Eicher Pro 6025,224.3815572,1394.891097,10.21818693,277.2483181,2.816205304,1270.753261,49.08173474,87.65911502,67.52918593,367.7478121,113.6015609,29.66149277,0.810702534,72.54032237
Volvo FH 520,350.7838125,1760.314151,19.11121623,117.3661049,3.772712214,2155.76088,58.79821096,91.37813355,73.82059932,397.1382738,112.9062836,34.33230487,0.779954169,71.13720811
Volvo FH 520,360.7507366,1304.462134,9.570699428,292.1825431,2.066767094,2276.437165,52.62846016,95.65941256,107.0267629,206.5445182,103.8394043,11.91588926,0.444616211,77.93238443
Eicher Pro 6025,399.2599528,2363.1426,16.15287012,193.7759533,3.252948089,1019.272795,15.76424756,82.27021032,63.68634255,277.7469119,75.12854171,49.86950209,0.507177174,74.4026633
Tata 407,257.7785561,1217.628465,8.737538106,476.2356556,0.938117751,1032.654394,52.0374545,87.14431054,113.461564,212.2407622,101.6120526,11.89832652,0.924157476,70.64278703
Ashok Leyland 2518,223.546228,2549.400458,6.110086325,335.1660202,1.997939759,2364.038123,50.46818825,89.92050681,91.94300087,396.5879324,135.2725089,37.26212436,0.20410851,82.38460617
Ashok Leyland 2518,497.2854647,2664.313124,14.90108237,471.0154301,3.766751333,1468.044425,66.72728048,83.87237015,97.0100726,319.2301181,108.3984902,24.03285768,0.318016053,82.34877659
Tata 407,451.6765017,1075.088654,14.86176872,197.5470876,0.51589994,1419.483032,39.2740973,97.86209524,87.37751388,245.2481821,76.39713393,44.15831298,0.396742074,85.08040965
Ashok Leyland 2518,314.3391066,1110.310053,12.42208263,210.2579074,3.192595117,2368.454283,76.77791261,84.88240221,68.74952106,290.0305944,88.68253431,46.43065887,0.700828583,78.63173515
Tata 407,272.4142435,1152.063348,18.11624494,378.1264358,4.859797555,1049.324259,31.76707726,89.69478136,114.6749045,325.1488763,130.9726727,36.81981037,0.529777354,82.26184905
Ashok Leyland 2518,342.948622,1229.657742,6.333449173,442.9779627,0.338174991,1929.69204,83.77572841,88.72486797,116.060926,301.356861,116.4049485,11.8535008,0.333312018,78.88242592
Volvo FH 520,341.47371,1971.508989,19.91101644,140.3629702,4.907755614,1948.038948,63.59159919,84.03887073,64.91167603,202.8364522,119.9341668,19.07527724,0.797735706,84.31309035
Volvo FH 520,402.6919344,2894.264034,4.526687222,112.8025971,2.099846646,2236.024391,91.71691624,81.29126409,86.36487822,315.1082616,70.08989304,22.93930962,0.102483037,70.58065142
Eicher Pro 6025,305.697431,2294.06764,7.172943758,293.6108404,2.870622561,2177.500275,38.84078946,83.59170252,116.7583738,275.7901162,96.67912265,13.50068452,0.1764934,75.60964939
Tata 407,318.4487384,1655.788789,8.558509899,253.6541978,3.891821685,1509.298932,82.10176356,80.1764575,95.23092389,277.4087362,106.0057746,21.37104879,0.576004582,71.58629974
Volvo FH 520,374.2139944,1240.35782,11.63790753,214.5015041,4.231489054,1014.109416,71.49409935,97.98180995,86.54047298,259.7134649,132.8655721,32.76734698,0.340047028,89.56914911
